,Img code,0.0,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
60,09849496,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s
61,72054232,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
62,85752532,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
63,48485340,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
64,01651875,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
65,55254336,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s
66,68587568,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s
67,81686941,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
68,45581765,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
69,50454421,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
70,72887548,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
71,88949655,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
72,58954378,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
73,78654156,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s
74,68687570,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s
75,42785392,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
76,41952092,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
77,62118899,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s
78,79187479,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
79,71516459,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s
80,52454389,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s
81,61387646,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s
82,39454518,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
83,63318856,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s
84,35285456,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s
85,57648359,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
86,48218691,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
87,62518838,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s
88,69554280,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
89,54854364,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s
90,05018518,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
91,50185617,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
92,16281981,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s
93,60520990,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
94,72554198,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
95,37187813,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s
96,68954267,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
97,63585507,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
98,55121004,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s
99,27081945,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s
